event_id,date,days_to_show,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show,num_blogs,num_news,num_reviews,discovery,familiarity,hotttnesss,num_years_active,FV_delta,maxPrice_FV_delta,FV_delta_log
9408915,2016-06-09T19:30:00-0400,88,Selena Gomez,Philips Arena,85.04,1500,106,359,Atlanta,GA,Ticketmaster,35,0,1059348,88,9475,2202,7,0.439947613,0.770825,0.862321,8,50.04,1465,3.912822686
9411812,2016-04-23T20:00:00-0400,41,Ciara,Center Stage Theatre,55.99,119,14,89,Atlanta,GA,Ticketmaster,29,0,106251,41,8129,962,52,0.391566651,0.749624,0.729409,14,26.99,90,3.295466427
9425600,2016-06-29T19:00:00-0400,108,Demi Lovato and Nick Jonas,Philips Arena,46.86,1749,182,780,Atlanta,GA,Ticketmaster,29.95,0,976211,108,6062,1776,13,0.42707395,0.769929,0.835224,14,16.91,1719.05,2.827905163
9428103,2016-04-08T20:30:00-0400,26,They Might Be Giants,Variety Playhouse,60.32,1112,13,73,Atlanta,GA,Ticketmaster,25,0,242200,26,2083,231,167,0.368563979,0.70152,0.619015,34,35.32,1087,3.564449376
9432150,2016-05-04T19:00:00-0400,52,Prong,Masquerade Atlanta,48.37,70,4,18,Atlanta,GA,Ticketmaster,16,0,149100,52,1110,289,14,0.409728132,0.61652,0.589147,30,32.37,54,3.477232068
9441117,2016-03-26T19:00:00-0400,13,Skizzy Mars,Masquerade Atlanta,29.62,999,16,59,Atlanta,GA,Ticketmaster,14,0,4516073,13,353,10,0,0.447225927,0.455172,0.504101,6,15.62,985,2.748552144
9445426,2016-04-12T19:30:00-0400,30,Justin Bieber,Philips Arena,214.9,3500,289,926,Atlanta,GA,Ticketmaster,50.5,0,2596951,30,30702,11724,108,0.376889194,0.842991,0.91195,8,164.4,3449.5,5.102302483
9451285,2016-03-23T19:30:00-0400,10,Joe Satriani,Symphony Hall Atlanta,43.01,11484,6,33,Atlanta,GA,Ticketmaster,29.5,0,217121,10,2292,483,43,0.33065216,0.749976,0.61644,46,13.51,11454.5,2.603430152
9452596,2016-04-01T20:30:00-0400,19,Daughter,Terminal West,42.58,65,13,34,Atlanta,GA,Ticketfly,20,1,201667,19,4497,397,27,0.484888303,0.61957,0.700804,6,22.58,45,3.117064559
9455706,2016-04-13T19:30:00-0400,31,Justin Bieber,Philips Arena,209,5500,231,876,Atlanta,GA,Ticketmaster,50.5,0,2596951,31,30702,11724,108,0.376889194,0.842991,0.91195,8,158.5,5449.5,5.065754593
9461076,2016-04-29T21:00:00-0400,47,polica,Terminal West,60.3,89,6,35,Atlanta,GA,Ticketfly,16,0,4665213,47,1714,349,40,0.575090463,0.445357,0.639432,5,44.3,73,3.790984677
9461149,2016-04-06T20:00:00-0400,24,Robin Trower,Variety Playhouse,83.44,78.53,7,35,Atlanta,GA,Ticketmaster,40,0,243623,24,521,31,38,0.383412018,0.61476,0.549685,54,43.44,38.53,3.771380676
9462347,2016-04-17T19:30:00-0400,35,Steve Hackett,Symphony Hall Atlanta,117.35,190,9,21,Atlanta,GA,Ticketmaster,29.5,0,486354,35,1009,170,23,0.378741598,0.616688,0.544745,46,87.85,160.5,4.475630815
9462611,2016-03-18T20:00:00-0400,5,The Infamous Stringdusters,Variety Playhouse,54.36,52.44,8,37,Atlanta,GA,Ticketmaster,20,0,541144,5,282,294,18,0.430255864,0.515952,0.528911,10,34.36,32.44,3.536893097
9465237,2016-04-01T20:30:00-0400,19,G. Love and Special Sauce,Variety Playhouse,58.81,79,11,56,Atlanta,GA,Ticketmaster,27.5,0,252784,19,374,178,22,0.382636727,0.621453,0.554782,24,31.31,51.5,3.443937535
9472817,2016-04-03T19:00:00-0400,21,Stick Figure,Terminal West,35.53,66,7,39,Atlanta,GA,Ticketfly,14,0,514431,21,88,0,3,0.519073696,0.255699,0.542266,26,21.53,52,3.069447311
9473806,2016-05-07T20:00:00-0400,55,Animal Collective,Buckhead Theatre,62.68,1111,28,134,Atlanta,GA,Ticketmaster,30,0,137427,55,11219,1873,294,0.324591294,0.737693,0.588488,17,32.68,1081,3.48676327
9474113,2016-04-15T19:00:00-0400,33,Duran Duran,Philips Arena,83.92,1073.1,115,399,Atlanta,GA,Ticketmaster,29.95,0,427500,33,4576,914,102,0.34277813,0.78713,0.700625,38,53.97,1043.15,3.988428337
9475558,2016-04-05T19:30:00-0400,23,Melanie Martinez,Buckhead Theatre,67.39,144,54,112,Atlanta,GA,Ticketmaster,26.5,0,6647159,23,243,17,0,0.505995981,0.521479,0.627087,4,40.89,117.5,3.710885534
9477608,2016-03-16T20:00:00-0400,3,Rickie Lee Jones,Variety Playhouse,85.1,76.76,2,8,Atlanta,GA,Ticketmaster,33,0,374600,3,526,113,60,0.345226586,0.633389,0.510861,38,52.1,43.76,3.953164949
9477725,2016-03-15T20:00:00-0400,2,Gordon Lightfoot,Symphony Hall Atlanta,70.94,169,6,17,Atlanta,GA,Ticketmaster,29.5,0,496846,2,782,157,25,0.360905312,0.657622,0.55747,58,41.44,139.5,3.724246598
9478609,2016-04-13T20:00:00-0400,31,Elle King,Variety Playhouse,63.78,200,14,68,Atlanta,GA,Ticketmaster,20,0,833467,31,371,66,1,0.6311164,0.52829,0.790063,17,43.78,180,3.779177092
9485351,2016-03-14T18:00:00-0400,1,The Word Alive,Masquerade Atlanta,41.43,61.56,3,20,Atlanta,GA,Ticketmaster,18,0,2341487,1,565,337,12,0.41187974,0.589722,0.566775,8,23.43,43.56,3.154017253
9489960,2016-04-13T20:00:00-0400,31,Jesse Cook,Buckhead Theatre,91,79,3,8,Atlanta,GA,Ticketmaster,37,0,134753,31,85,8,2,0.433901593,0.53883,0.551788,21,54,42,3.988984047
9490874,2016-03-16T18:30:00-0400,3,Secrets,Masquerade Atlanta,30.81,77,4,24,Atlanta,GA,Ticketmaster,13.5,0,338659,3,180,24,3,0.450690308,0.520237,0.557526,6,17.31,63.5,2.851284369
9501051,2016-04-12T20:00:00-0400,30,The Cult,Variety Playhouse,88.46,165,14,50,Atlanta,GA,Ticketmaster,38,0,397363,30,1531,309,53,0.334942438,0.701355,0.56236,33,50.46,127,3.921180943
9501297,2016-05-13T19:00:00-0400,61,Flatbush Zombies,Masquerade Atlanta,39.48,73,13,61,Atlanta,GA,Ticketmaster,20,0,5081903,61,1739,234,2,0.467464415,0.521325,0.579203,6,19.48,53,2.969388298
9501663,2016-05-03T19:00:00-0400,51,Woods,Masquerade Atlanta,49.11,55,7,30,Atlanta,GA,Ticketmaster,13,0,499335,51,1092,121,74,0.41600021,0.543106,0.532437,11,36.11,42,3.586569835
9501826,2016-05-21T18:00:00-0400,69,Say Anything,Masquerade Atlanta,38.09,68,14,80,Atlanta,GA,Ticketmaster,19.5,0,235557,69,1222,227,57,0.346220671,0.671825,0.548964,16,18.59,48.5,2.922623802
9502608,2016-04-06T20:00:00-0400,24,Beirut,Buckhead Theatre,51.69,144,12,57,Atlanta,GA,Ticketmaster,30,0,355452,24,1532,126,123,0.394311981,0.707912,0.670898,10,21.69,114,3.076851325
9505471,2016-05-02T21:00:00-0400,50,Parachute,Terminal West,35.54,42,4,18,Atlanta,GA,Ticketfly,21,0,9315,50,223,38,3,0.393932208,0.607437,0.557938,10,14.54,21,2.676903472
9507620,2016-05-06T19:30:00-0400,54,Boyce Avenue,Center Stage Theatre,49.31,97,10,57,Atlanta,GA,Ticketmaster,25,0,608550,54,228,37,0,0.428002036,0.610056,0.608825,12,24.31,72,3.190887788
9508208,2016-04-06T20:00:00-0400,24,Tech N9ne,Center Stage Theatre,55.6,57,7,40,Atlanta,GA,Ticketmaster,30,0,283009,24,2214,254,25,0.381175807,0.745693,0.703663,25,25.6,27,3.242592351
9509210,2016-05-18T19:30:00-0400,66,Magic Man & The Griswolds,Terminal West,51.26,73,8,43,Atlanta,GA,Ticketfly,22,0,699966,66,1060,75,0,0.469976991,0.500253,0.564706,7,29.26,51,3.376221396
9509402,2016-04-20T19:00:00-0400,38,Denzel Curry,Masquerade Atlanta,31.98,75,7,36,Atlanta,GA,Ticketmaster,15,0,6890294,38,358,24,2,0.505512848,0.463573,0.576538,5,16.98,60,2.832036181
9509422,2016-11-15T20:30:00-0400,247,Peter Hook and The Light,Terminal West,43.04,60.42,6,35,Atlanta,GA,Ticketfly,25,0,4154881,247,1441,472,2,0.346621433,0.503933,0.418708,40,18.04,35.42,2.892591515
9510183,2016-04-22T19:00:00-0400,40,Bane,Masquerade Atlanta,36.57,70,5,33,Atlanta,GA,Ticketmaster,12,0,21223,40,328,50,1,0.424450673,0.499495,0.509446,14,24.57,58,3.201526187
9511118,2016-04-05T20:00:00-0400,23,Ace Frehley,Variety Playhouse,63.6,74.1,11,58,Atlanta,GA,Ticketmaster,37.5,0,307655,23,1352,345,12,0.364550169,0.6406,0.546269,52,26.1,36.6,3.261935314
9511127,2016-04-22T21:00:00-0400,40,Esperanza Spalding,Center Stage Theatre,61.5,59,5,29,Atlanta,GA,Ticketmaster,34.5,0,560672,40,1143,656,35,0.410283908,0.598612,0.572751,16,27,24.5,3.295836866
9511315,2016-05-22T18:00:00-0400,70,The Summer Set,Masquerade Atlanta,61.5,198,8,37,Atlanta,GA,Ticketmaster,17,0,912614,70,599,273,8,0.463310478,0.520261,0.573158,9,44.5,181,3.795489189
9512296,2016-04-29T21:00:00-0400,47,Sevendust,Center Stage Theatre,51.99,70,8,37,Atlanta,GA,Ticketmaster,27,0,280948,47,1425,531,31,0.328539767,0.726058,0.580668,22,24.99,43,3.218475745
9512392,2016-05-01T17:30:00-0400,49,FILTER with Orgy and Vampires Everywhere,Masquerade Atlanta,39.52,99,10,52,Atlanta,GA,Ticketmaster,21,0,188715,49,1065,318,18,0.387488096,0.623617,0.56388,23,18.52,78,2.918851229
9513692,2016-03-25T21:00:00-0400,12,Anderson East,Terminal West,44.39,198,8,32,Atlanta,GA,Ticketfly,12,1,3742616,12,145,28,1,0.465655426,0.442163,0.515465,7,32.39,186,3.477849733
